,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
96,0 days 01:36:26.188000,14.4,78.0,1009.1,False,19.6,350,1.8
97,0 days 01:37:26.188000,14.4,77.0,1009.1,False,19.6,274,1.1
99,0 days 01:39:26.221000,14.5,78.0,1009.2,False,19.5,325,0.5
100,0 days 01:40:26.212000,14.5,78.0,1009.1,False,19.5,268,0.7
102,0 days 01:42:26.235000,14.6,77.0,1009.1,False,19.7,330,0.7
103,0 days 01:43:26.235000,14.6,77.0,1009.1,False,19.7,333,0.7
105,0 days 01:45:26.236000,14.6,77.0,1009.0,False,19.5,335,1.2
106,0 days 01:46:26.252000,14.6,77.0,1009.0,False,19.4,47,1.4
108,0 days 01:48:26.259000,14.5,78.0,1009.0,False,19.4,352,0.9
109,0 days 01:49:26.244000,14.6,77.0,1009.0,False,19.4,217,1.1
111,0 days 01:51:26.264000,14.5,78.0,1009.0,False,19.4,287,1.4
112,0 days 01:52:26.264000,14.4,78.0,1008.9,False,19.3,293,0.9
114,0 days 01:54:26.280000,14.5,78.0,1009.0,False,19.3,171,1.2
115,0 days 01:55:26.281000,14.5,77.0,1009.0,False,19.2,275,1.9
117,0 days 01:57:26.288000,14.4,78.0,1009.0,False,19.3,312,0.8
119,0 days 01:59:26.327000,14.5,77.0,1008.9,False,19.4,315,1.6
120,0 days 02:00:26.330000,14.5,77.0,1008.9,False,19.4,0,1.6
122,0 days 02:02:26.340000,14.5,78.0,1008.9,False,19.4,332,1.4
123,0 days 02:03:26.340000,14.5,77.0,1008.9,False,19.4,332,1.1
125,0 days 02:05:26.320000,14.5,77.0,1008.8,False,19.4,301,1.1
126,0 days 02:06:26.336000,14.5,77.0,1008.9,False,19.4,311,1.1
128,0 days 02:08:26.362000,14.6,77.0,1008.8,False,19.4,264,1.4
129,0 days 02:09:26.347000,14.5,77.0,1008.8,False,19.2,0,1.3
131,0 days 02:11:26.388000,14.5,77.0,1008.9,False,19.2,348,1.2
132,0 days 02:12:26.370000,14.6,77.0,1008.9,False,19.3,302,1.4
134,0 days 02:14:26.402000,14.6,77.0,1008.8,False,19.4,301,2.4
