,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
110,0 days 01:50:08.480000,16.0,76.0,1010.3,True,19.2,242,3.8
112,0 days 01:52:08.471000,15.9,76.0,1010.2,True,19.2,283,2.4
114,0 days 01:54:08.482000,15.8,77.0,1010.1,False,19.2,257,2.6
115,0 days 01:55:08.489000,15.7,75.0,1010.1,False,19.2,257,3.6
117,0 days 01:57:08.482000,15.7,78.0,1010.2,True,19.2,208,2.4
118,0 days 01:58:08.485000,15.8,77.0,1010.2,False,19.2,270,3.1
120,0 days 02:00:08.483000,15.7,77.0,1010.2,False,19.1,229,2.5
121,0 days 02:01:08.485000,15.7,78.0,1010.1,False,19.1,261,2.3
123,0 days 02:03:08.513000,15.7,77.0,1010.1,False,19.1,218,3.1
124,0 days 02:04:08.525000,15.8,77.0,1010.1,False,19.1,256,2.5
126,0 days 02:06:08.539000,15.8,71.0,1010.1,False,19.1,248,4.4
127,0 days 02:07:08.539000,15.9,71.0,1010.1,False,19.0,232,4.3
129,0 days 02:09:08.623000,16.1,71.0,1010.1,False,19.0,251,3.6
131,0 days 02:11:08.616000,16.1,70.0,1010.2,False,19.0,253,4.9
133,0 days 02:13:08.618000,16.1,71.0,1010.3,False,19.0,282,3.9
135,0 days 02:15:08.622000,16.2,70.0,1010.3,False,19.2,268,3.1
137,0 days 02:17:08.620000,16.3,71.0,1010.3,False,19.2,277,4.0
139,0 days 02:19:08.662000,16.3,68.0,1010.3,False,19.2,254,3.9
141,0 days 02:21:08.675000,16.4,69.0,1010.3,False,19.2,270,4.6
144,0 days 02:24:08.722000,16.4,69.0,1010.3,False,19.3,255,3.6
146,0 days 02:26:08.699000,16.5,69.0,1010.4,False,19.3,262,3.9
147,0 days 02:27:08.723000,16.6,68.0,1010.6,False,19.3,222,5.1
149,0 days 02:29:08.726000,16.6,75.0,1010.5,False,19.3,201,1.3
150,0 days 02:30:08.727000,16.4,76.0,1010.4,True,19.3,166,2.5
152,0 days 02:32:08.706000,15.9,80.0,1010.3,True,19.3,141,1.4
154,0 days 02:34:08.743000,15.5,80.0,1010.4,True,19.3,132,2.1
156,0 days 02:36:08.760000,15.2,81.0,1010.5,True,18.8,166,1.3
158,0 days 02:38:08.787000,15.1,83.0,1010.6,True,18.8,238,0.7
160,0 days 02:40:08.828000,15.1,83.0,1010.6,False,18.8,96,1.3
162,0 days 02:42:08.857000,15.2,83.0,1010.6,False,18.8,196,1.5
165,0 days 02:45:08.874000,15.1,78.0,1010.6,False,18.7,161,1.4
166,0 days 02:46:08.966000,15.2,77.0,1010.4,False,18.7,161,1.6
168,0 days 02:48:08.921000,15.6,75.0,1010.6,False,18.7,228,2.6
169,0 days 02:49:08.951000,15.8,76.0,1010.4,False,18.7,159,1.3
